Function Name,link,lambda,xrange,zmin,zmax,markdown,Select,kernel
Bird-Like Function,/benchmarks/unconstrained/1-dimension/221-bird-like-function,f = lambda x: (2*x**4 + x**2 + 2) / (x**4 + 1),"[-4, 4]",[2],"[-1, 1]",$f(x) = \frac{2x^4 + x^2 + 2}{x^4 + 1}$,1,0.191**2 * RBF(length_scale=0.269) + WhiteKernel(noise_level=1e-05) + 2.19**2 * RBF(length_scale=1e+05)
Gramacy-Lee's Function No.01,/benchmarks/unconstrained/1-dimension/258-gramacy-lee-s-function-no-1,f = lambda x: np.sin(10 * np.pi * x) / (2 * x) + (x - 1)**4,"[0.5, 2.5]",[0.548563444114526],[],$f(x) = \frac{\sin(10 \pi x)}{2x} + (x - 1)^4$,1,"5.6**2 * RBF(length_scale=1.92) + WhiteKernel(noise_level=1e-05) + 31.7**2 * RBF(length_scale=3.23) * ExpSineSquared(length_scale=84.5, periodicity=0.344) ** 1.5"
Himmelblau's Function No.01,/benchmarks/unconstrained/1-dimension/17-himmelblau-function-no-1,f = lambda x: (x**2 - 1)**2,"[-2, 2]","[-1, 1]",[],$f(x) = (x^2 - 1)^2$,1,0.989**2 * RBF(length_scale=4.99) + WhiteKernel(noise_level=1e-05) + 83.8**2 * RBF(length_scale=113) ** 2 * DotProduct(sigma_0=0.0183) ** 3
Himmelblau's Function No.03,/benchmarks/unconstrained/1-dimension/19-himmelblau-s-function-no-3,f = lambda x: ((1-x)**2)*((x+1)**4)*((x-2)**3)*x,"[-1.4, 2]",[0.409951714917356],[],$f(x) = (1-x)^2 \cdot (x+1)^4 \cdot (x-2)^3 \cdot x$,1,1.85**2 * RBF(length_scale=0.49) + WhiteKernel(noise_level=1e-05) + 1.02**2 * RBF(length_scale=0.489) ** 2 * DotProduct(sigma_0=5.53e-05) ** 3
Infinite Limits Function,/benchmarks/unconstrained/1-dimension/222-infinite-limits-function,f = lambda x: np.sinc(x/np.pi),"[-100, 100]","[-4.493409471849579, 4.493409471849579]",[],"$```latex
f(x) = \frac{\sin\left(\frac{x}{\pi}\right)}{\frac{x}{\pi}}
```$",1,"0.0299**2 * RBF(length_scale=2.22) + WhiteKernel(noise_level=1.05e-05) + 0.186**2 * ExpSineSquared(length_scale=0.291, periodicity=1.89) ** 2"
Moore's Function (or 50th Degree Polynomial Problem),/benchmarks/unconstrained/1-dimension/254-moore-s-function-or-50th-degree-polynomial-problem,"f = lambda x: np.sum([a[j] * x**(j+1) for j in range(50)], axis=0)","[1, 5]",[1.091165036224843],[],$f(x) = \sum_{j=0}^{49} a_j \cdot x^{j+1}$,1,
Problem No.02 (or Timonov's Function No.01),/benchmarks/unconstrained/1-dimension/200-problem-no-2-or-timonov-s-function-no-1,f = lambda x: -np.sin(x) - np.sin(10*x/3),"[2.7, 7.5]",[],[5.145735284853897],$f(x) = -\sin(x) - \sin\left(\frac{10x}{3}\right)$,1,"0.00316**2 * RBF(length_scale=0.000178) + WhiteKernel(noise_level=1e-05) + 284**2 * ExpSineSquared(length_scale=846, periodicity=4.51) ** 3 * ExpSineSquared(length_scale=608, periodicity=1.35) ** 1.5"
"Problem No.03 (Shubert's, Trigonometric Polynomial or Suharev-Zilinskas' Function)",/benchmarks/unconstrained/1-dimension/201-problem-no-3-shubert-s-trigonometric-polynomial-or-suharev-zilinskas-function,"f = lambda x: np.array([np.sum([j * np.sin((j + 1) * xi + j) for j in range(1, 6)]) for xi in x.flat]).reshape(x.shape)","[-10, 10]",[],"[-6.77457614347361, -0.491390835930674, 5.79179447080188]","$The lambda function can be represented in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \begin{bmatrix}
\sum_{j=1}^{5} j \cdot \sin((j + 1) x_{1,1} + j) \\
\sum_{j=1}^{5} j \cdot \sin((j + 1) x_{1,2} + j) \\
\vdots \\
\sum_{j=1}^{5} j \cdot \sin((j + 1) x_{m,n} + j)
\end{bmatrix}
\]

where $\mathbf{x}$ is a matrix with elements $x_{i,j}$, and the resulting matrix has the same shape as $\mathbf{x}$. Each element of the resulting matrix is the sum of the product of $j$ and the sine of $(j + 1)$ times the corresponding element of $\mathbf{x}$ plus $j$, for $j$ ranging from 1 to 5.$",1,"0.00316**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 72.4**2 * ExpSineSquared(length_scale=1.32, periodicity=1.04) ** 3"
Problem No.04 (Gaffney's or Cornelius-Lohner's Function),/benchmarks/unconstrained/1-dimension/202-problem-no-4-gaffney-s-or-cornelius-lohner-s-function,f = lambda x: (16*x**2 - 24*x + 5)*np.exp(-x),"[1.9, 3.9]",[],[2.868033983115523],$f(x) = (16x^2 - 24x + 5)e^{-x}$,1,3.63**2 * RBF(length_scale=3.54) + WhiteKernel(noise_level=1e-05) + 0.273**2 * DotProduct(sigma_0=2.2) ** 2
Problem No.05 (or Basso's Function),/benchmarks/unconstrained/1-dimension/203-problem-no-5-or-basso-s-function-no-1,f = lambda x: (1.4 - 3 * x) * np.sin(18 * x),"[0, 1.2]",[],[0.966085802901471],$f(x) = (1.4 - 3x) \sin(18x)$,1,"0.00316**2 * RBF(length_scale=10) + WhiteKernel(noise_level=1e-05) + 53.1**2 * DotProduct(sigma_0=0.442) * ExpSineSquared(length_scale=104, periodicity=1) + 0.00316**2 * Matern(length_scale=1e+05, nu=1.5) ** 2 * RationalQuadratic(alpha=0.67, length_scale=107) ** 2"
