Function Name,link,lambda,xrange,zmin,zmax,markdown
Adjiman's Function,/benchmarks/unconstrained/2-dimensions/113-adjiman-s-function,"f = lambda x: np.cos(x[:,0]) * np.sin(x[:,1]) - x[:,0] / (1 + x[:,1]**2)","[[-5, 5], [-5, 5]]","[(5, 0)]",[],$f(\mathbf{x}) = \cos(x_1) \sin(x_2) - \frac{x_1}{1 + x_2^2}$
Aluffi-Pentini's (or Zirilli's) Function,/benchmarks/unconstrained/2-dimensions/26-aluffi-pentini-s-or-zirilli-s-function,"f = lambda x: 0.25*x[:,0]**4 - 0.5*x[:,0]**2 + 0.1*x[:,0] + 0.5*x[:,1]**2","[[-10, 10], [-10, 10]]","[(-1.046680576580755, 0)]",[],$f(\mathbf{x}) = 0.25x_0^4 - 0.5x_0^2 + 0.1x_0 + 0.5x_1^2$
Banana Shape Function,/benchmarks/unconstrained/2-dimensions/48-banana-shape-function,"f = lambda x: -(100 / (10 * ((x[:,0] + 1)**2 - (x[:,1] + 1))**2 + x[:,0]**2 + 4))","[[-1.5, 1.5], [-2.5, 0.5]]","[(0, 0)]",There is no information about the global maxima in the provided code snippet.,$f(\mathbf{x}) = -\frac{100}{10((x_1 + 1)^2 - (x_2 + 1))^2 + x_1^2 + 4}$
Bartels-Conn's Function,/benchmarks/unconstrained/2-dimensions/72-bartels-conn-s-function,"f = lambda x: np.abs(x[:,0]**2 + x[:,1]**2 + x[:,0]*x[:,1]) + np.abs(np.sin(x[:,0])) + np.abs(np.cos(x[:,1]))","[[-500, 500], [-500, 500]]","[(0, 0)]",[],$f(\mathbf{x}) = \left| x_1^2 + x_2^2 + x_1 x_2 \right| + \left| \sin(x_1) \right| + \left| \cos(x_2) \right|$
Beale's Function,/benchmarks/unconstrained/2-dimensions/27-beale-s-function,"f = lambda x: ((1.5 - x[:,0] + x[:,0]*x[:,1])**2) + ((2.25 - x[:,0] + x[:,0]*x[:,1]**2)**2) + ((2.625 - x[:,0] + x[:,0]*x[:,1]**3)**2)","[[-4.5, 4.5], [-4.5, 4.5]]","[(3, 0.5)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \left(1.5 - x_1 + x_1 x_2\right)^2 + \left(2.25 - x_1 + x_1 x_2^2\right)^2 + \left(2.625 - x_1 + x_1 x_2^3\right)^2
\]

where \( \mathbf{x} \) is a vector with components \( x_1 \) and \( x_2 \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
Biggs' EXP2 Function,/benchmarks/unconstrained/2-dimensions/123-biggs-exp2-function,"f = lambda x: np.sum([(np.exp(-k*x[:,0]/10)-5*np.exp(-k*x[:,1]/10)-np.exp(-k/10)+5*np.exp(-k))**2 for k in range(10)], axis=0)","[[0, 20], [0, 20]]","[(1, 10)]",[],"$The lambda function can be expressed in LaTeX syntax as follows:

\[
f(\mathbf{x}) = \left[ \sum_{k=0}^{9} \left( e^{-\frac{k x_{0}}{10}} - 5e^{-\frac{k x_{1}}{10}} - e^{-\frac{k}{10}} + 5e^{-k} \right)^2 \right]
\]

where $\mathbf{x}$ is a vector with components $x_{0}$ and $x_{1}$.$"
Bird Function,/benchmarks/unconstrained/2-dimensions/29-bird-function,"f = lambda x: (x[:,0] - x[:,1])**2 + np.exp((1 - np.sin(x[:,0]))**2) * np.cos(x[:,1]) + np.exp((1 - np.cos(x[:,1]))**2) * np.sin(x[:,0])","[[-2*np.pi, 2*np.pi], [-2*np.pi, 2*np.pi]]","[(4.701055751981055, 3.152946019601391), (-1.582142172055011, -3.130246799635430)]",[],"$The lambda function `f` can be represented in LaTeX syntax as follows:

\[
f(\mathbf{x}) = (x_{i,0} - x_{i,1})^2 + e^{(1 - \sin(x_{i,0}))^2} \cos(x_{i,1}) + e^{(1 - \cos(x_{i,1}))^2} \sin(x_{i,0})
\]

where $\mathbf{x}$ is a matrix with rows indexed by $i$ and columns indexed by 0 and 1, and $x_{i,0}$ and $x_{i,1}$ represent the elements of the $i$-th row and 0-th/1-st column, respectively.$"
Bohachevsky's Function No.01,/benchmarks/unconstrained/2-dimensions/10-bohachevsky-s-function-no-1,"f = lambda x: x[:,0]**2 + 2*x[:,1]**2 - 0.3*np.cos(3*np.pi*x[:,0]) - 0.4*np.cos(4*np.pi*x[:,1]) + 0.7","[[-10, 10], [-10, 10]]","[(0, 0)]",[],$f(\mathbf{x}) = x_1^2 + 2x_2^2 - 0.3\cos(3\pi x_1) - 0.4\cos(4\pi x_2) + 0.7$
Bohachevsky's Function No.02,/benchmarks/unconstrained/2-dimensions/11-bohachevsky-s-function-no-2,"f = lambda x: x[:,0]**2 + 2*x[:,1]**2 - 0.3*np.cos(3*np.pi*x[:,0])*np.cos(4*np.pi*x[:,1]) + 0.3","[[-10, 10], [-10, 10]]","[(0, 0)]",[],$f(\mathbf{x}) = x_1^2 + 2x_2^2 - 0.3\cos(3\pi x_1)\cos(4\pi x_2) + 0.3$
Bohachevsky's Function No.03,/benchmarks/unconstrained/2-dimensions/12-bohachevsky-s-function-no-3,"f = lambda x: x[:,0]**2 + 2*x[:,1]**2 - 0.3*np.cos(3*np.pi*x[:,0] + 4*np.pi*x[:,1])*np.cos(4*np.pi*x[:,1]) + 0.3","[[-10, 10], [-10, 10]]","[(0, 0)]",There is no information about the global maxima in the provided code snippet.,$f(\mathbf{x}) = x_1^2 + 2x_2^2 - 0.3 \cos(3\pi x_1 + 4\pi x_2)\cos(4\pi x_2) + 0.3$
Booth's Function,/benchmarks/unconstrained/2-dimensions/30-booth-s-function,"f = lambda x: ((x[:,0] + 2*x[:,1] - 7)**2) + ((2*x[:,0] + x[:,1] - 5)**2)","[[-10, 10], [-10, 10]]","[(1, 3)]",[],$f(\mathbf{x}) = (x_1 + 2x_2 - 7)^2 + (2x_1 + x_2 - 5)^2$
Branin's RCOS Function No.01,/benchmarks/unconstrained/2-dimensions/13-branin-s-rcos-function-no-1,"f = lambda x: (x[:,1] - (5.1/(4*np.pi**2))*x[:,0]**2 + (5/np.pi)*x[:,0] - 6)**2 + 10*(1 - (1/(8*np.pi)))*np.cos(x[:,0]) + 10","[[-5, 10], [0, 15]]","[(-np.pi, 12.275), (np.pi, 2.275), (9.42478, 2.475)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \left( x_{i,1} - \frac{5.1}{4\pi^2}x_{i,0}^2 + \frac{5}{\pi}x_{i,0} - 6 \right)^2 + 10\left(1 - \frac{1}{8\pi}\right)\cos(x_{i,0}) + 10
\]

where $\mathbf{x}$ is a matrix with rows indexed by $i$ and columns indexed by $0$ and $1$, and $x_{i,0}$ and $x_{i,1}$ represent the elements in the $i$-th row and $0$-th/1st column, respectively.$"
Branin's RCOS Function No.02,/benchmarks/unconstrained/2-dimensions/137-branin-s-rcos-function-no-2,"f = lambda x: -1 / (1 * (x[:, 1] - (5.1 / (4 * np.pi ** 2)) * x[:, 0] ** 2 + (5 / np.pi) * x[:, 0] - 6) ** 2 + (10 * (1 - (1 / (8 * np.pi))) * np.cos(x[:, 0]) * np.cos(x[:, 1])) + np.log(x[:, 0] ** 2 + x[:, 1] ** 2 + 1) + 10)","[[-5, 10], [0, 15]]","[(-3.196988423389338, 12.526257883092258)]",[],"$\[
f(\mathbf{x}) = -\frac{1}{1 \cdot \left(\mathbf{x}_2 - \frac{5.1}{4\pi^2}\mathbf{x}_1^2 + \frac{5}{\pi}\mathbf{x}_1 - 6\right)^2 + 10\left(1 - \frac{1}{8\pi}\right)\cos(\mathbf{x}_1)\cos(\mathbf{x}_2) + \log(\mathbf{x}_1^2 + \mathbf{x}_2^2 + 1) + 10}
\]$"
Brent's Function,/benchmarks/unconstrained/2-dimensions/112-brent-s-function,"f = lambda x: (x[:,0]+10)**2 + (x[:,1]+10)**2 + np.exp(-x[:,0]**2 - x[:,1]**2)","[[-10, 10], [-10, 10]]","[(-10, -10)]",[],$f(\mathbf{x}) = (x_1 + 10)^2 + (x_2 + 10)^2 + e^{-(x_1^2 + x_2^2)}$
Bukin's Function No.04,/benchmarks/unconstrained/2-dimensions/51-bukin-s-function-no-4,"f = lambda x: 100*x[:,1]**2 + 0.01*np.abs(x[:,0]+10)","[[-15, -5], [-3, 3]]","[(-10, 0)]",[],$f(\mathbf{x}) = 100x_1^2 + 0.01 |x_0 + 10|$
Bukin's Function No.06,/benchmarks/unconstrained/2-dimensions/52-bukin-s-function-no-6,"f = lambda x: 100*np.sqrt(np.abs(x[:,1]-0.01*x[:,0]**2)) + 0.01*np.abs(x[:,0]+10)","[[-15, -5], [-3, 3]]","[(-10, 1)]",[],$f(\mathbf{x}) = 100 \sqrt{\left| x_2 - 0.01x_1^2 \right|} + 0.01 \left| x_1 + 10 \right|$
Camel Function,/benchmarks/unconstrained/2-dimensions/31-camel-function,"f = lambda x: -((-x[:,0]**4 + 4.5*x[:,0]**2 + 2) / (np.exp(2*x[:,1]**2)))","[[-2, 2], [-2, 2]]","[(-1.5, 0), (1.5, 0)]",[],$f(x) = -\left(\frac{-x_0^4 + 4.5x_0^2 + 2}{e^{2x_1^2}}\right)$
Carrom Table Function,/benchmarks/unconstrained/2-dimensions/32-carrom-table-function,"f = lambda x: (-1/30)*np.exp(2*np.abs(1-(np.sqrt(x[:,0]**2+x[:,1]**2)/np.pi)))*(np.cos(x[:,0])**2)*(np.cos(x[:,1])**2)","[[-10, 10], [-10, 10]]","[(9.646157266348881, 9.646157266348881), (-9.646157266348881, 9.646157266348881), (9.646157266348881, -9.646157266348881), (-9.646157266348881, -9.646157266348881)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -\frac{1}{30} e^{2\left|1 - \frac{\sqrt{x_1^2 + x_2^2}}{\pi}\right|} \cos^2(x_1) \cos^2(x_2)
\]

where $\mathbf{x} = (x_1, x_2)$ is a vector in $\mathbb{R}^2$.$"
Chen's Bird Function,/benchmarks/unconstrained/2-dimensions/111-chen-s-bird-function,"f = lambda x: 0.001 / (0.001**2 + (x[:,0]**2 + x[:,1]**2 - 1)**2) + 0.001 / (0.001**2 + (x[:,0]**2 + x[:,1]**2 - 0.5)**2) + 0.001 / (0.001**2 + (x[:,0] - x[:,1])**2)","[[-1.5, 1], [-1.5, 1]]","[(0.5, 0.5)]","[(0.5, 0.5)]","$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \frac{0.001}{0.001^2 + (x_1^2 + x_2^2 - 1)^2} + \frac{0.001}{0.001^2 + (x_1^2 + x_2^2 - 0.5)^2} + \frac{0.001}{0.001^2 + (x_1 - x_2)^2}
\]

where $\mathbf{x}$ is a vector with components $x_1$ and $x_2$, corresponding to `x[:,0]` and `x[:,1]` in the original lambda function.$"
Chen's V Function,/benchmarks/unconstrained/2-dimensions/110-chen-s-v-function,"f = lambda x: 0.001 / (0.001**2 + (x[:,0] - 0.4*x[:,1] - 0.1)**2) + 0.001 / (0.001**2 + (2*x[:,0] + x[:,1] - 1.5)**2)","[[-500, 500], [-500, 500]]",[],"[(0.388888888888889, 0.722222222222222)]",$f(\mathbf{x}) = \frac{0.001}{0.001^2 + (x_1 - 0.4x_2 - 0.1)^2} + \frac{0.001}{0.001^2 + (2x_1 + x_2 - 1.5)^2}$
Chichinadze's Function,/benchmarks/unconstrained/2-dimensions/42-chichinadze-s-function,"f = lambda x: x[:,0]**2 - 12*x[:,0] + 8*np.sin(5*np.pi*x[:,0]/2) + 10*np.cos(np.pi*x[:,0]/2) + 11 - (0.2*np.sqrt(5)/np.exp(0.5*(x[:,1]-0.5)**2))","[[-30, 30], [-30, 30]]","[(6.189866586965680, 0.5)]",[],$f(\mathbf{x}) = x_1^2 - 12x_1 + 8\sin\left(\frac{5\pi x_1}{2}\right) + 10\cos\left(\frac{\pi x_1}{2}\right) + 11 - \left(\frac{0.2\sqrt{5}}{\exp\left(0.5(x_2 - 0.5)^2\right)}\right)$
Complex Function,/benchmarks/unconstrained/2-dimensions/43-complex-function,"f = lambda x: (x[:,0]**3 - 3*x[:,0]*x[:,1]**2 - 1)**2 + (3*x[:,1]*x[:,0]**2 - x[:,1]**3)**2","[[-2, 2], [-2, 2]]","[(1, 0)]",[],"$The lambda function can be converted into the following mathematical expression in LaTeX syntax:

\[
f(\mathbf{x}) = \left( x_{1}^3 - 3x_{1}x_{2}^2 - 1 \right)^2 + \left( 3x_{2}x_{1}^2 - x_{2}^3 \right)^2
\]

where \( \mathbf{x} \) is a vector with components \( x_{1} \) and \( x_{2} \), corresponding to \( x[:,0] \) and \( x[:,1] \) in the lambda function, respectively.$"
Cross-In Tray Function,/benchmarks/unconstrained/2-dimensions/44-cross-in-tray-function,"f = lambda x: -0.0001 * (np.abs(np.exp(np.abs(100 - (np.sqrt(x[:,0]**2 + x[:,1]**2) / np.pi))) * np.sin(x[:,0]) * np.sin(x[:,1])) + 1) ** 0.1","[[-15, 15], [-15, 15]]","[(1.349406608602084, 1.349406608602084), (-1.349406608602084, 1.349406608602084), (1.349406608602084, -1.349406608602084), (-1.349406608602084, -1.349406608602084)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -0.0001 \left( \left| \exp\left( \left| 100 - \frac{\sqrt{x_0^2 + x_1^2}}{\pi} \right| \right) \sin(x_0) \sin(x_1) \right| + 1 \right)^{0.1}
\]

where \(\mathbf{x}\) is a vector with components \(x_0\) and \(x_1\).$"
Cross-Leg Table Function,/benchmarks/unconstrained/2-dimensions/45-cross-leg-table-function,"f = lambda x: -1 / ((np.abs(np.exp(np.abs(100 - (np.sqrt(x[:,0]**2 + x[:,1]**2) / np.pi))) * np.sin(x[:,0]) * np.sin(x[:,1])) + 1) ** 0.1)","[[-10, 10], [-10, 10]]","[(0, 0)]",[],"$The lambda function can be converted into the following LaTeX expression:

\[
f(\mathbf{x}) = -\frac{1}{\left(\left|\exp\left(\left|100 - \frac{\sqrt{x_0^2 + x_1^2}}{\pi}\right|\right) \cdot \sin(x_0) \cdot \sin(x_1)\right| + 1\right)^{0.1}}
\]$"
